Informacje ogólne,,,,,,,,,,,,
"Mistrz Trucizn to podklasa, która nie ma żadnych przywilejów, poza możliwością nauki
 wytwarzania specjalnych trucizn, które nakładamy na bronie białe, jedynie pod siłę i zręczność, zadające obrażenia cięte.
Zaleca się korzystanie z trucizn w połączeniu z włóczniami/halabardami/bronią 1h, jako że reszta broni ma wystarczająco duże 
obrażenia, których nie ma po co obniżać piciem mikstury, bądź też posiadają gorsze animacje do efektywnego nakładania trucizn.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Opis ogólny,,,,,,,,,,,,
"Mistrzem Trucizn zostajemy u druida Fregyala, który znajduje się w jaskini w lesie za farmą Onara (wyśle nas tam Wilk z misją).
Aby do niego trafić, należy trzymać się ""ściany"" za obozowiskiem niedaleko pasterza Pepe i iść, aż nie napotkamy kamienia druidów.
Musimy wykonać dla druida zadanie, polegające na zabiciu jadowitego zębacza. Otrzymamy za nie miksturę, która po wypiciu
zmniejszy nasze obrażenia wręcz i na dystans o 50%, a także da nam odporność na trucizny.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Inne uwagi,,,,,,,,,,,,
,,,,,,,,,,,,
"Trucizn można zacząć się uczyć jedynie do końca 2 rozdziału. Nie może się ich nauczyć Szaman, ani Mroczny Rycerz.  

Aby czytać receptury specjalnych trucizn, należy najpierw nauczyć się korzystania z nich 
(nauka możliwa dopiero od 3 poziomu tworzenia trucizn).

Trucizn używamy ""klikając"" je w ekwipunku, a w górnym rogu wyświetli nam się liczba ładunków, które tracimy
po każdym uderzeniu wroga.

Noszenie Kła Muritana zwiększa obrażenia trucizn o 25%

Nasze statystyki również mają wpływ na dmg trucizn: 
50 wytrzymalosci = + 1 dmg na tick
4% wladania = +1 dmg na tick
20 sily, zreki = +1 dmg na tick 
",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
