"Runy od Galahada i zdobyczne
Nauka każdej dodaje 1% mocy magicznej i 1 int",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Obrażenia run podawane są na 0 int i 1% mocy magicznej.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"Po pogadaniu z Vatrasem i spełnieniu wymogu 30 many.
Niedostępna na utrudnionym nightmare.
Koszt: 500 złota",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"Uczy Gallahad po wybraniu od niego magii.
Koszt: 1PN",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"Uczy Gallahad po wybraniu od niego magii.
Efekt dla gildii Beliara to 40%
Koszt: 3PN",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"Uczy Gallahad po wybraniu od niego magii i spełnieniu warunku 75 many dla gildii magicznej (nowicjusz również się liczy)
lub 125 many dla każdej innej gildii
Koszt: 5PN",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"Uczy Gallahad po wybraniu od niego magii.
Runa ma 4 stopnie, każdy wzmacnia nasze wilki
Bardzo przydatny przyzwaniec na magach.
Korzystanie z Jiny zmniejsza ilość wilków, które możemy przywołać o 1.",,,,,"1 krąg - Wilk: 10 PN
2 krąg - Czarny Wilk: 15 PN
3 krąg - Lider Wargów: 25 PN
4 krąg - Wilk Cienia: 35 PN"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"Uczy Gallahad po wybraniu od niego magii.
Koszt: 5PN",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"Uczy Gallahad po wybraniu od niego magii.
Koszt: 10PN
Nekromanta dostaje tą runę za darmo od Xardasa
Zadaje mniejsze obrażenia bossom",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
