,,,,,,,,,,,,,
,,,ALLGEMEINE INFORMATIONEN,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"Der Söldner ist eine universelle Kriegergilde, die einen passiven Bonus von 20% erhöhten Blutungsschaden sowie 5% höhere Chance auf zusätzliche Blutungen besitzt. Wir haben auch die Möglichkeit, einzigartige Äxte von Khaled zu erwerben und bei Bennet die Herstellung großartiger Schwerter aus magischem Erz zu erlernen. Obwohl die Gilde die Möglichkeit bietet, auf Geschicklichkeit zu spielen, wird empfohlen, auf Stärke und Nahkampf zu setzen, um ihre einzigartigen Fähigkeiten zu nutzen.

Der Söldner erhält einen ""Tageslohn"" von Onar, den wir selbst aushandeln müssen. Die Rückgabe des Tellers an Maria erhöht unsere Bezahlung.
Dieses Einkommen geht verloren, sobald wir Drachenjäger werden oder wenn wir uns mit der Aufgabe von Torlof in Kapitel 2 zu lange Zeit gelassen haben.",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"In Kapitel 3 können wir bessere Gesundheitsregeneration aus Tränken lernen.

Torlof lehrt uns, wie wir den Schaden noch weiter verstärken
und physische Schäden besser ertragen können.

Der Söldner ist die beste Wahl für das Spiel mit der Untergilde Schamane dank einzigartiger Äxte und standardmäßig auf Tränken basierender Heilung.

Geeignet zum Spielen als Giftmeister (nur wenn wir mit Nahkampfwaffen spielen wollen)
Druide wird nicht empfohlen (es gibt bessere Wahlmöglichkeiten).",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,SPEZIELLE SÖLDNER-FÄHIGKEITEN,,,,,,,,,,
,,,,,,,,,,,,,
,,,Name der Fähigkeit,,,,,,,,Anforderungen und Kosten,,
,,,,,,,,,,,,,
