"Wichtige Information! Denke daran, dass Ognik die Standorte von Tafeln und Pflanzen anzeigen kann, 
 wenn wir eine spezielle Fähigkeit im Dialog mit ihm kaufen (10.000 Goldstücke).
Die Fähigkeit ist auch kostenlos verfügbar nach dem Sieg über den Boss Ahiron in Khorinis

Dämonische Tafeln verwenden wir genauso wie normale nach dem Erlernen der Dämonensprache bei Kreol im 2. Kapitel.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
KHORINIS | OSWALDS FARM | KÜSTE | ASSASSINENWALD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Energie
(+5 LP oder +3 Mana)",,,,"Meisterschaft
(+1% Waffenbeherrschung)",,,,"Zerstörung 
(+1% Magiemacht)",,,,"Macht
(+1 Stärke oder Geschicklichkeit)",,,,Wissen (+2 Int),,,,"Schutz
(+5 Physisch oder +1 Sturz)"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Auf dem Tisch in Xardas' Turm,,,,Neben der Kriecherspinnenkönigin in der Höhle mit dem Golem-Boss,,,,"Assassinenwald, neben Nrozas",,,,Hinter dem Teleportstein zum Sonnenkreis,,,,Neben dem verwundeten Ork unweit von Nicklas,,,,Assassinenwald in der Schatzkammer hinter dem versteckten Durchgang
,,,,,,,,,,,,,,,,,,,,
In der Höhle in den neuen Gebieten zwischen Xardas' Turm und Khorinis,,,,In der Höhle bei den Kräutersammlern unweit des schwarzen Trolls,,,,,,,,Oswalds Farm bei den Leichen im Loch nahe der Mühle auf der Farm,,,,,,,,Assassinenwald neben Cor Kalom
,,,,,,,,,,,,,,,,,,,,
Bei den Ausgrabungen neben dem Ort wo Lares anhält,,,,"Oswalds Farm in der Arena, nahe dem Teleportstein",,,,,,,,Westküste bei dem verwunschenen Turm neben dem Druiden,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Auf der Truhe auf der Spitze von Dexters Turm,,,,Westküste neben dem schwarzen Troll,,,,,,,,Assassinenwald im Raum des verfluchten Priors,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Beim Kreis im dunklen Wald,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Oswalds Farm: im Turm des Magiers,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Westküste: im Durchgang zu den Ebenen unweit des Wächter-Bosses,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
JARKENDAR | ADANOS' WÜSTE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Energie
(+5 LP oder +3 Mana)",,,,"Meisterschaft
(+1% Waffenbeherrschung)",,,,"Zerstörung 
(+1% Magiemacht)",,,,"Macht
(+1 Stärke oder Geschicklichkeit)",,,,Wissen (+2 Int),,,,"Schutz
(+5 Physisch oder +1 Sturz)"
,,,,,,,,,,,,,,,,,,,,
